Iteration,Cost
1,3.884501115856686
2,2.732850323347713
3,2.3547849788550734
4,2.067199904974591
5,1.863097764545887
6,1.7423111174305281
7,1.6039023232037593
8,1.4856241363818294
9,1.4254836884192397
10,1.4396341394923362
11,1.3385811716620426
12,1.346409522458085
13,1.350729280876057
14,1.2092907546770348
15,1.2332362370015801
16,1.188720804929509
17,1.177826795938869
18,1.1857423670137162
19,1.1767260769579089
20,1.3420800947796305
21,1.4128117459846976
22,1.1885765786893063
23,1.1075198056760054
24,1.0914928092188276
25,0.9930082265317514
26,0.9290994268810391
27,0.8913279827677938
28,0.8808590897358436
29,0.8585585243445572
30,0.8258421188248931
31,0.8619860929240876
32,0.8043847450893779
33,0.7751480686961192
34,0.8517538885252478
35,0.7644367447090271
36,0.8158733408314117
37,0.8445705952345992
38,0.7880310223331799
39,0.885808964890077
40,0.7373370877747579
41,0.7514769640905856
42,0.7518511798886622
43,0.7144607509001848
44,0.6933989353228298
45,0.8367914292604864
46,0.747260199540302
47,0.7103056960253459
48,0.7193107647935043
49,0.7694995373220599
50,0.6454062556246537
51,0.6217643083090971
52,0.6411735430511006
53,0.632497545148751
54,0.6991965288561415
55,0.6413790919184112
56,0.6572909685347392
57,0.6522322676598163
58,0.6159124682523194
59,0.6911952615688934
60,0.6339889513092932
61,0.6168762852036507
62,0.6080071565232178
63,0.6357666331821062
64,0.6802401197153082
65,0.6591231800173472
66,0.7207700239446387
67,0.6446066212140907
68,0.6270961410609565
69,0.5770753457290996
70,0.5785738096893357
71,0.6193047842715554
72,0.5710293587372697
73,0.566288233516763
74,0.6393256087932924
75,0.6502358465350537
76,0.6329982419663326
77,0.6191298919069335
78,0.5849935494463084
79,0.6176039523332596
80,0.5630237128343122
81,0.5987779213680348
82,0.5758548144691411
83,0.5745089974222568
84,0.580697989996257
85,0.5839499355621678
86,0.5707361378907493
87,0.5643696749421959
88,0.5518291055303336
89,0.5599631780672495
90,0.5782795317076856
91,0.5881116277912326
92,0.5510620858048124
93,0.5479974260869978
94,0.5527204220075663
95,0.5693842186623812
96,0.5774837071180087
97,0.5686364883196561
98,0.5475176436823626
99,0.5498608166604797
100,0.5763709431278288